code,name,sell
ALB-SERUM,Albumin,800
AMYLASE,Amylase,800
ALP-SINGLE,Alkaline Phosphatase,600
ASOT,ASOT,800
AST,AST,600
BILIRUBIN,Bilirubin T/D,800
BG-RH,Blood Group,500
BLOOD-SLIDE,Blood Slide (BS),300
BLOOD-CULTURE,Blood C/S,1500
BRUCELLA,Brucella,800
CALCIUM,Calcium,800
CPK,CPK,800
CREAT-SINGLE,Creatinine,800
CRP,CRP,1500
GXM,Cross Matching,1500
DCT,DCT,1500
ELECTROLYTES,Electrolytes,800
ESR,ESR,300
CBC,FBC,800
FERITIN-SINGLE,Ferritin,2500
GGT-SINGLE,GGT,800
RBS,Glucose (RBS),300
FBS,Glucose (FBS),300
HBA1C,HBA1C,1500
HP-STOOL,H.Pylori Ag (stool),1500
HBSAG,HBsAg,800
HCV,HCV,800
HDL,HDL,800
P24,HIV,500
LDH,LDH,800
LFT,LFT,2000
LIPID,Lipid Profile,2000
MAL-AG,Malaria Rapid Test,800
MAL-SLIDE,MP,500
PBF,Peripheral Film,800
UPT,Pregnancy Test,300
TP-SINGLE,Protein Total,800
PSA,PSA,2500
APTT,PTTK/APTT,1500
PT-INR,PT/INR,1500
RF,Rheumatoid Factor,800
RFT-UE,RFT,2000
FOBT,Stool Occult Blood,500
STOOL-MCS,Stool C/S,1500
STOOL-MICRO,Stool o/c,500
T3,T3,1500
T4,T4,1500
TFT,TFT,4000
TROP-I,Troponin I,2500
TSH-SINGLE,TSH,1500
UREA-SINGLE,Urea,800
URIC,Uric Acid,800
URINALYSIS,Urinalysis,300
URINE-CS,Urine C/S,1500
VDRL,VDRL/RPR,500
,H.Pylori Ab (blood),800
,ICT,2000
,LDL,800
,Triglycerides,800
,Sickling Test,500
,Widal,800
,Widal + Brucella,1500
